  category,reference
Stranger Things,"I’d ride a bike into the Upside Down for you, but you’re not nerdy enough to understand."
Stranger Things,"I’d hide you from Vecna, but you’re not nerdy enough to understand."
Stranger Things,"I’d use Christmas lights to talk to you, but you’re not nerdy enough to understand."
Stranger Things,"I’d guard your D20 from the Mind Flayer, but you’re not nerdy enough to understand."
Stranger Things,"I’d share my Eggos with you, but you’re not nerdy enough to understand."
Stranger Things,"I’d lift a van with my mind for you, but you’re not nerdy enough to understand."
Stranger Things,"I’d open a gate with my Walkman blasting, but you’re not nerdy enough to understand."
Stranger Things,"I’d decode your Russian transmission, but you’re not nerdy enough to understand."
Stranger Things,"I’d protect you with my nail-bat, but you’re not nerdy enough to understand."
Stranger Things,"I’d play “Master of Puppets” for you, but you’re not nerdy enough to understand."

Game of Thrones,"I’d bend the knee for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d light a candle in the highest tower for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d cross the Wall for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d defend you with Valyrian steel, but you’re not nerdy enough to understand."
Game of Thrones,"I’d write your name in the Book of Brothers, but you’re not nerdy enough to understand."
Game of Thrones,"I’d face the Mountain for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d bring dragons to your door, but you’re not nerdy enough to understand."
Game of Thrones,"I’d hold the door for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d drink and know things for you, but you’re not nerdy enough to understand."
Game of Thrones,"I’d take the black for you, but you’re not nerdy enough to understand."

Breaking Bad,"I’d cook up a plan for you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d say “Yeah Science!” for you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d ring a bell to save you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d throw a pizza on your roof, but you’re not nerdy enough to understand."
Breaking Bad,"I’d walk into the desert with two barrels for you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d shield your lab with my RV, but you’re not nerdy enough to understand."
Breaking Bad,"I’d buy you a new identity from Ed, but you’re not nerdy enough to understand."
Breaking Bad,"I’d make it a “blue” day for you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d say “I am the one who knocks” for you, but you’re not nerdy enough to understand."
Breaking Bad,"I’d save your life with ricin… or save you from ricin, but you’re not nerdy enough to understand."

The Office,"I’d declare bankruptcy for you, but you’re not nerdy enough to understand."
The Office,"I’d make you a Dundie, but you’re not nerdy enough to understand."
The Office,"I’d drive my car into a lake for you, but you’re not nerdy enough to understand."
The Office,"I’d teapot you a secret note, but you’re not nerdy enough to understand."
The Office,"I’d buy you 5 lbs of M&Ms, but you’re not nerdy enough to understand."
The Office,"I’d prank Dwight daily for you, but you’re not nerdy enough to understand."
The Office,"I’d yell “Parkour!” for you, but you’re not nerdy enough to understand."
